ID,TTL,TransmissionPower,TransmissionsNumber,IntervalTime,PDRSend,PDRReceived,DeviceID
1,2,1,1,1,51,46,1
2,2,1,1,2,51,46,1
3,2,1,1,3,51,47,1
4,2,1,1,4,51,51,1
5,2,1,1,5,51,51,1
6,2,1,3,1,51,51,1
7,2,1,3,2,51,51,1
8,2,1,3,3,51,50,1
9,2,1,3,4,51,51,1
10,2,1,3,5,51,48,1
11,2,1,5,1,51,50,1
12,2,1,5,2,51,50,1
13,2,1,5,3,51,51,1
14,2,1,5,4,51,51,1
15,2,1,5,5,51,51,1
16,2,3,1,1,51,51,1
17,2,3,1,2,51,46,1
18,2,3,1,3,51,51,1
19,2,3,1,4,51,48,1
20,2,3,1,5,51,48,1
21,2,3,3,1,51,50,1
22,2,3,3,2,51,51,1
23,2,3,3,3,51,51,1
24,2,3,3,4,51,50,1
25,2,3,3,5,51,47,1
26,2,3,5,1,51,51,1
27,2,3,5,2,51,47,1
28,2,3,5,3,51,51,1
29,2,3,5,4,51,51,1
30,2,3,5,5,51,49,1
31,2,6,1,1,51,49,1
32,2,6,1,2,51,49,1
33,2,6,1,3,51,50,1
34,2,6,1,4,51,48,1
35,2,6,1,5,51,48,1
36,2,6,3,1,51,51,1
37,2,6,3,2,51,51,1
38,2,6,3,3,51,51,1
39,2,6,3,4,51,50,1
40,2,6,3,5,51,48,1
41,2,6,5,1,51,51,1
42,2,6,5,2,51,51,1
43,2,6,5,3,51,51,1
44,2,6,5,4,51,51,1
45,2,6,5,5,51,51,1
46,3,1,1,1,51,49,1
47,3,1,1,2,51,51,1
48,3,1,1,3,51,51,1
49,3,1,1,4,51,51,1
50,3,1,1,5,51,51,1
51,3,1,3,1,51,49,1
52,3,1,3,2,51,51,1
53,3,1,3,3,51,51,1
54,3,1,3,4,51,51,1
55,3,1,3,5,51,48,1
56,3,1,5,1,51,51,1
57,3,1,5,2,51,51,1
58,3,1,5,3,51,51,1
59,3,1,5,4,51,48,1
60,3,1,5,5,51,51,1
61,3,3,1,1,51,46,1
62,3,3,1,2,51,51,1
63,3,3,1,3,51,48,1
64,3,3,1,4,51,51,1
65,3,3,1,5,51,51,1
66,3,3,3,1,51,51,1
67,3,3,3,2,51,51,1
68,3,3,3,3,51,49,1
69,3,3,3,4,51,51,1
70,3,3,3,5,51,49,1
71,3,3,5,1,51,48,1
72,3,3,5,2,51,47,1
73,3,3,5,3,51,51,1
74,3,3,5,4,51,51,1
75,3,3,5,5,51,51,1
76,3,6,1,1,51,49,1
77,3,6,1,2,51,48,1
78,3,6,1,3,51,49,1
79,3,6,1,4,51,51,1
80,3,6,1,5,51,51,1
81,3,6,3,1,51,51,1
82,3,6,3,2,51,47,1
83,3,6,3,3,51,51,1
84,3,6,3,4,51,50,1
85,3,6,3,5,51,49,1
86,3,6,5,1,51,48,1
87,3,6,5,2,51,48,1
88,3,6,5,3,51,50,1
89,3,6,5,4,51,51,1
90,3,6,5,5,51,51,1
91,4,1,1,1,51,51,1
92,4,1,1,2,51,50,1
93,4,1,1,3,51,51,1
94,4,1,1,4,51,50,1
95,4,1,1,5,51,50,1
96,4,1,3,1,51,51,1
97,4,1,3,2,51,50,1
98,4,1,3,3,51,51,1
99,4,1,3,4,51,51,1
100,4,1,3,5,51,51,1
101,4,1,5,1,51,51,1
102,4,1,5,2,51,51,1
103,4,1,5,3,51,51,1
104,4,1,5,4,51,50,1
105,4,1,5,5,51,51,1
106,4,3,1,1,51,51,1
107,4,3,1,2,51,51,1
108,4,3,1,3,51,46,1
109,4,3,1,4,51,51,1
110,4,3,1,5,51,50,1
111,4,3,3,1,51,51,1
112,4,3,3,2,51,49,1
113,4,3,3,3,51,47,1
114,4,3,3,4,51,51,1
115,4,3,3,5,51,51,1
116,4,3,5,1,51,51,1
117,4,3,5,2,51,50,1
118,4,3,5,3,51,51,1
119,4,3,5,4,51,51,1
120,4,3,5,5,51,51,1
121,4,6,1,1,51,46,1
122,4,6,1,2,51,46,1
123,4,6,1,3,51,51,1
124,4,6,1,4,51,51,1
125,4,6,1,5,51,48,1
126,4,6,3,1,51,51,1
127,4,6,3,2,51,49,1
128,4,6,3,3,51,47,1
129,4,6,3,4,51,51,1
130,4,6,3,5,51,47,1
131,4,6,5,1,51,51,1
132,4,6,5,2,51,51,1
133,4,6,5,3,51,51,1
134,4,6,5,4,51,51,1
135,4,6,5,5,51,47,1
136,5,1,1,1,51,51,1
137,5,1,1,2,51,51,1
138,5,1,1,3,51,51,1
139,5,1,1,4,51,51,1
140,5,1,1,5,51,51,1
141,5,1,3,1,51,51,1
142,5,1,3,2,51,47,1
143,5,1,3,3,51,51,1
144,5,1,3,4,51,51,1
145,5,1,3,5,51,47,1
146,5,1,5,1,51,47,1
147,5,1,5,2,51,51,1
148,5,1,5,3,51,49,1
149,5,1,5,4,51,51,1
150,5,1,5,5,51,47,1
151,5,3,1,1,51,51,1
152,5,3,1,2,51,51,1
153,5,3,1,3,51,50,1
154,5,3,1,4,51,50,1
155,5,3,1,5,51,51,1
156,5,3,3,1,51,51,1
157,5,3,3,2,51,49,1
158,5,3,3,3,51,51,1
159,5,3,3,4,51,48,1
160,5,3,3,5,51,49,1
161,5,3,5,1,51,48,1
162,5,3,5,2,51,51,1
163,5,3,5,3,51,51,1
164,5,3,5,4,51,49,1
165,5,3,5,5,51,50,1
166,5,6,1,1,51,51,1
167,5,6,1,2,51,49,1
168,5,6,1,3,51,51,1
169,5,6,1,4,51,51,1
170,5,6,1,5,51,50,1
171,5,6,3,1,51,51,1
172,5,6,3,2,51,50,1
173,5,6,3,3,51,51,1
174,5,6,3,4,51,47,1
175,5,6,3,5,51,51,1
176,5,6,5,1,51,49,1
177,5,6,5,2,51,51,1
178,5,6,5,3,51,51,1
179,5,6,5,4,51,51,1
180,5,6,5,5,51,51,1
181,2,1,1,1,51,50,1
182,2,1,1,2,51,51,1
183,2,1,1,3,51,51,1
184,2,1,1,4,51,51,1
185,2,1,1,5,51,47,1
186,2,1,3,1,51,51,1
187,2,1,3,2,51,51,1
188,2,1,3,3,51,51,1
189,2,1,3,4,51,51,1
190,2,1,3,5,51,48,1
191,2,1,5,1,51,49,1
192,2,1,5,2,51,51,1
193,2,1,5,3,51,50,1
194,2,1,5,4,51,49,1
195,2,1,5,5,51,51,1
196,2,3,1,1,51,47,1
197,2,3,1,2,51,46,1
198,2,3,1,3,51,49,1
199,2,3,1,4,51,51,1
200,2,3,1,5,51,51,1
201,2,3,3,1,51,51,1
202,2,3,3,2,51,51,1
203,2,3,3,3,51,51,1
204,2,3,3,4,51,51,1
205,2,3,3,5,51,48,1
206,2,3,5,1,51,51,1
207,2,3,5,2,51,51,1
208,2,3,5,3,51,51,1
209,2,3,5,4,51,50,1
210,2,3,5,5,51,51,1
211,2,6,1,1,51,51,1
212,2,6,1,2,51,51,1
213,2,6,1,3,51,46,1
214,2,6,1,4,51,51,1
215,2,6,1,5,51,50,1
216,2,6,3,1,51,51,1
217,2,6,3,2,51,51,1
218,2,6,3,3,51,51,1
219,2,6,3,4,51,51,1
220,2,6,3,5,51,50,1
221,2,6,5,1,51,48,1
222,2,6,5,2,51,51,1
223,2,6,5,3,51,51,1
