"ID","TTL","TransmissionPower","TransmissionsNumber","IntervalTime","PDRSend","PDRReceived"
"1","2","1","1","1","51","113"
"2","2","1","1","2","51","112"
"3","2","1","1","3","51","113"
"4","2","1","1","4","51","111"
"5","2","1","1","5","51","111"
"6","2","1","3","1","51","82"
"7","2","1","3","2","51","70"
"8","2","1","3","3","51","72"
"9","2","1","3","4","51","72"
"10","2","1","3","5","51","76"
"11","2","1","5","1","51","57"
"12","2","1","5","2","51","44"
"13","2","1","5","3","51","47"
"14","2","1","5","4","51","48"
"15","2","1","5","5","51","43"
"16","2","3","1","1","51","84"
"17","2","3","1","2","51","107"
"18","2","3","1","3","51","108"
"19","2","3","1","4","51","95"
"20","2","3","1","5","51","105"
"21","2","3","3","1","51","77"
"22","2","3","3","2","51","80"
"23","2","3","3","3","51","68"
"24","2","3","3","4","51","68"
"25","2","3","3","5","51","66"
"26","2","3","5","1","51","54"
"27","2","3","5","2","51","51"
"28","2","3","5","3","51","45"
"29","2","3","5","4","51","48"
"30","2","3","5","5","51","48"
"31","2","6","1","1","51","107"
"32","2","6","1","2","51","124"
"33","2","6","1","3","51","120"
"34","2","6","1","4","51","123"
"35","2","6","1","5","51","130"
"36","2","6","3","1","51","73"
"37","2","6","3","2","51","74"
"38","2","6","3","3","51","82"
"39","2","6","3","4","51","75"
"40","2","6","3","5","51","73"
"41","2","6","5","1","51","51"
"42","2","6","5","2","51","45"
"43","2","6","5","3","51","51"
"44","2","6","5","4","51","45"
"45","2","6","5","5","51","47"
"46","3","1","1","1","51","69"
"47","3","1","1","2","51","54"
"48","3","1","1","3","51","52"
"49","3","1","1","4","51","47"
"50","3","1","1","5","51","49"
"51","3","1","3","1","51","28"
"52","3","1","3","2","51","11"
"53","3","1","3","3","51","13"
"54","3","1","3","4","51","16"
"55","3","1","3","5","51","18"
"56","3","1","5","1","51","15"
"57","3","1","5","2","51","13"
"58","3","1","5","3","51","7"
"59","3","1","5","4","51","12"
"60","3","1","5","5","51","10"
"61","3","3","1","1","51","22"
"62","3","3","1","2","51","24"
"63","3","3","1","3","51","28"
"64","3","3","1","4","51","45"
"65","3","3","1","5","51","35"
"66","3","3","3","1","51","50"
"67","3","3","3","2","51","20"
"68","3","3","3","3","51","19"
"69","3","3","3","4","51","18"
"70","3","3","3","5","51","18"
"71","3","3","5","1","51","10"
"72","3","3","5","2","51","4"
"73","3","3","5","3","51","9"
"74","3","3","5","4","51","5"
"75","3","3","5","5","51","2"
"76","3","6","1","1","51","19"
"77","3","6","1","2","51","31"
"78","3","6","1","3","51","22"
"79","3","6","1","4","51","37"
"80","3","6","1","5","51","54"
"81","3","6","3","1","51","30"
"82","3","6","3","2","51","28"
"83","3","6","3","3","51","18"
"84","3","6","3","4","51","16"
"85","3","6","3","5","51","17"
"86","3","6","5","1","51","12"
"87","3","6","5","2","51","15"
"88","3","6","5","3","51","10"
"89","3","6","5","4","51","7"
"90","3","6","5","5","51","4"
"91","4","1","1","1","51","28"
"92","4","1","1","2","51","71"
"93","4","1","1","3","51","68"
"94","4","1","1","4","51","71"
"95","4","1","1","5","51","81"
"96","4","1","3","1","51","52"
"97","4","1","3","2","51","17"
"98","4","1","3","3","51","18"
"99","4","1","3","4","51","23"
"100","4","1","3","5","51","12"
"101","4","1","5","1","51","13"
"102","4","1","5","2","51","16"
"103","4","1","5","3","51","13"
"104","4","1","5","4","51","16"
"105","4","1","5","5","51","17"
"106","4","3","1","1","51","39"
"107","4","3","1","2","51","71"
"108","4","3","1","3","51","77"
"109","4","3","1","4","51","68"
"110","4","3","1","5","51","55"
"111","4","3","3","1","51","31"
"112","4","3","3","2","51","31"
"113","4","3","3","3","51","26"
"114","4","3","3","4","51","28"
"115","4","3","3","5","51","21"
"116","4","3","5","1","51","20"
"117","4","3","5","2","51","14"
"118","4","3","5","3","51","14"
"119","4","3","5","4","51","11"
"120","4","3","5","5","51","10"
"121","4","6","1","1","51","41"
"122","4","6","1","2","51","81"
"123","4","6","1","3","51","92"
"124","4","6","1","4","51","131"
"125","4","6","1","5","51","134"
"126","4","6","3","1","51","52"
"127","4","6","3","2","51","28"
"128","4","6","3","3","51","24"
"129","4","6","3","4","51","32"
"130","4","6","3","5","51","25"
"131","4","6","5","1","51","21"
"132","4","6","5","2","51","19"
"133","4","6","5","3","51","20"
"134","4","6","5","4","51","16"
"135","4","6","5","5","51","9"
"136","5","1","1","1","51","63"
"137","5","1","1","2","51","119"
"138","5","1","1","3","51","132"
"139","5","1","1","4","51","123"
"140","5","1","1","5","51","116"
"141","5","1","3","1","51","80"
"142","5","1","3","2","51","74"
"143","5","1","3","3","51","75"
"144","5","1","3","4","51","79"
"145","5","1","3","5","51","72"
"146","5","1","5","1","51","54"
"147","5","1","5","2","51","51"
"148","5","1","5","3","51","51"
"149","5","1","5","4","51","48"
"150","5","1","5","5","51","54"
"151","5","3","1","1","51","112"
"152","5","3","1","2","51","130"
"153","5","3","1","3","51","133"
"154","5","3","1","4","51","136"
"155","5","3","1","5","51","128"
"156","5","3","3","1","51","80"
"157","5","3","3","2","51","75"
"158","5","3","3","3","51","74"
"159","5","3","3","4","51","75"
"160","5","3","3","5","51","76"
"161","5","3","5","1","51","57"
"162","5","3","5","2","51","48"
"163","5","3","5","3","51","50"
"164","5","3","5","4","51","47"
"165","5","3","5","5","51","48"
"166","5","6","1","1","51","112"
"167","5","6","1","2","51","128"
"168","5","6","1","3","51","129"
"169","5","6","1","4","51","128"
"170","5","6","1","5","51","131"
"171","5","6","3","1","51","87"
"172","5","6","3","2","51","72"
"173","5","6","3","3","51","74"
"174","5","6","3","4","51","73"
"175","5","6","3","5","51","72"
"176","5","6","5","1","51","57"
"177","5","6","5","2","51","48"
"178","5","6","5","3","51","51"
"179","5","6","5","4","51","51"
"180","5","6","5","5","51","51"
"181","2","1","1","1","51","98"
"182","2","1","1","2","51","119"
"183","2","1","1","3","51","122"
"184","2","1","1","4","51","124"
"185","2","1","1","5","51","124"
"186","2","1","3","1","51","77"
"187","2","1","3","2","51","74"
"188","2","1","3","3","51","72"
"189","2","1","3","4","51","73"
"190","2","1","3","5","51","79"
"191","2","1","5","1","51","63"
"192","2","1","5","2","51","48"
"193","2","1","5","3","51","47"
"194","2","1","5","4","51","48"
"195","2","1","5","5","51","43"
"196","2","3","1","1","51","113"
"197","2","3","1","2","51","116"
"198","2","3","1","3","51","127"
"199","2","3","1","4","51","107"
"200","2","3","1","5","51","120"
"201","2","3","3","1","51","80"
"202","2","3","3","2","51","72"
"203","2","3","3","3","51","73"
"204","2","3","3","4","51","75"
"205","2","3","3","5","51","71"
"206","2","3","5","1","51","54"
"207","2","3","5","2","51","45"
"208","2","3","5","3","51","48"
"209","2","3","5","4","51","48"
"210","2","3","5","5","51","45"
"211","2","6","1","1","51","102"
"212","2","6","1","2","51","120"
"213","2","6","1","3","51","121"
"214","2","6","1","4","51","118"
"215","2","6","1","5","51","114"
"216","2","6","3","1","51","77"
"217","2","6","3","2","51","80"
"218","2","6","3","3","51","75"
"219","2","6","3","4","51","84"
"220","2","6","3","5","51","76"
"221","2","6","5","1","51","53"
"222","2","6","5","2","51","47"
"223","2","6","5","3","51","47"
"224","2","6","5","4","51","47"
"225","2","6","5","5","51","45"
"226","3","1","1","1","51","87"
"227","3","1","1","2","51","50"
"228","3","1","1","3","51","47"
"229","3","1","1","4","51","34"
"230","3","1","1","5","51","37"
"231","3","1","3","1","51","28"
"232","3","1","3","2","51","10"
"233","3","1","3","3","51","11"
"234","3","1","3","4","51","10"
"235","3","1","3","5","51","31"
"236","3","1","5","1","51","18"
"237","3","1","5","2","51","15"
"238","3","1","5","3","51","5"
"239","3","1","5","4","51","9"
"240","3","1","5","5","51","8"
"241","3","3","1","1","51","24"
"242","3","3","1","2","51","46"
"243","3","3","1","3","51","46"
"244","3","3","1","4","51","36"
"245","3","3","1","5","51","41"
"246","3","3","3","1","51","21"
"247","3","3","3","2","51","16"
"248","3","3","3","3","51","21"
"249","3","3","3","4","51","10"
"250","3","3","3","5","51","18"
"251","3","3","5","1","51","6"
"252","3","3","5","2","51","13"
"253","3","3","5","3","51","10"
"254","3","3","5","4","51","8"
"255","3","3","5","5","51","3"
"256","3","6","1","1","51","18"
"257","3","6","1","2","51","47"
"258","3","6","1","3","51","36"
"259","3","6","1","4","51","47"
"260","3","6","1","5","51","37"
"261","3","6","3","1","51","25"
"262","3","6","3","2","51","13"
"263","3","6","3","3","51","10"
"264","3","6","3","4","51","13"
"265","3","6","3","5","51","16"
"266","3","6","5","1","51","12"
"267","3","6","5","2","51","9"
"268","3","6","5","3","51","6"
"269","3","6","5","4","51","5"
"270","3","6","5","5","51","7"
"271","4","1","1","1","51","36"
"272","4","1","1","2","51","52"
"273","4","1","1","3","51","57"
"274","4","1","1","4","51","47"
"275","4","1","1","5","51","51"
"276","4","1","3","1","51","30"
"277","4","1","3","2","51","24"
"278","4","1","3","3","51","14"
"279","4","1","3","4","51","23"
"280","4","1","3","5","51","22"
"281","4","1","5","1","51","15"
"282","4","1","5","2","51","10"
"283","4","1","5","3","51","7"
"284","4","1","5","4","51","7"
"285","4","1","5","5","51","13"
"286","4","3","1","1","51","27"
"287","4","3","1","2","51","63"
"288","4","3","1","3","51","47"
"289","4","3","1","4","51","65"
"290","4","3","1","5","51","134"
"291","4","3","3","1","51","72"
"292","4","3","3","2","51","74"
"293","4","3","3","3","51","75"
"294","4","3","3","4","51","72"
"295","4","3","3","5","51","74"
"296","4","3","5","1","51","47"
"297","4","3","5","2","51","15"
"298","4","3","5","3","51","6"
"299","4","3","5","4","51","11"
"300","4","3","5","5","51","9"
"301","4","6","1","1","51","40"
"302","4","6","1","2","51","101"
"303","4","6","1","3","51","106"
"304","4","6","1","4","51","99"
"305","4","6","1","5","51","127"
"306","4","6","3","1","51","77"
"307","4","6","3","2","51","68"
"308","4","6","3","3","51","24"
"309","4","6","3","4","51","18"
"310","4","6","3","5","51","6"
