"ID","DeviceID","TTL","TransmissionPower","TransmissionsNumber","IntervalTime","TTLResidue","Delay"
"1","2","2","1","1","1","2","10225851.00"
"2","3","2","1","1","1","1","10527204.00"
"3","2","2","1","1","1","2","2173155.00"
"4","1","2","1","1","1","2","2413557.00"
"5","3","2","1","1","1","1","2452892.00"
"6","2","2","1","1","1","2","2704553.00"
"7","1","2","1","1","1","2","2745090.00"
"8","3","2","1","1","1","2","2810747.00"
"9","2","2","1","1","1","2","3650915.00"
"10","1","2","1","1","1","2","3694102.00"
"11","3","2","1","1","1","2","3991453.00"
"12","2","2","1","1","1","2","4063170.00"
"13","2","2","1","1","1","2","4843024.00"
"14","3","2","1","1","1","1","5291196.00"
"15","1","2","1","1","1","2","5724617.00"
"16","2","2","1","1","1","2","4322836.00"
"17","1","2","1","1","1","2","4749248.00"
"18","2","2","1","1","1","2","5101907.00"
"19","3","2","1","1","1","1","5544993.00"
"20","2","2","1","1","1","2","5116322.00"
"21","3","2","1","1","1","1","5773902.00"
"22","2","2","1","1","1","2","5474288.00"
"23","3","2","1","1","1","2","5514399.00"
"24","3","2","1","1","1","2","5709126.00"
"25","2","2","1","1","1","2","6143894.00"
"26","2","2","1","1","1","2","6301062.00"
"27","3","2","1","1","1","0","6348284.00"
"28","1","2","1","1","1","2","6450142.00"
"29","2","2","1","1","1","2","6490729.00"
"30","3","2","1","1","1","2","6683077.00"
"31","2","2","1","1","1","2","7350718.00"
"32","1","2","1","1","1","0","7613760.00"
"33","2","2","1","1","1","2","7364478.00"
"34","1","2","1","1","1","2","8373871.00"
"35","1","2","1","1","1","2","13085322.00"
"36","2","2","1","1","1","2","13125687.00"
"37","2","2","1","1","1","2","3233702.00"
"38","3","2","1","1","1","1","3273813.00"
"39","2","2","1","1","1","2","3354740.00"
"40","1","2","1","1","1","2","3813787.00"
"41","3","2","1","1","1","1","3953696.00"
"42","2","2","1","1","1","2","2753274.00"
"43","1","2","1","1","1","1","2793381.00"
"44","3","2","1","1","1","0","3195901.00"
"45","1","2","1","1","1","2","3536030.00"
"46","3","2","1","1","1","1","3873985.00"
"47","2","2","1","1","1","2","3603600.00"
"48","1","2","1","1","1","1","3843684.00"
"49","2","2","1","1","1","2","4473550.00"
"50","3","2","1","1","1","2","4593777.00"
"51","1","2","1","1","1","1","4813769.00"
"52","2","2","1","1","1","2","4476541.00"
"53","3","2","1","1","1","1","5023584.00"
"54","2","2","1","1","1","2","4573240.00"
"55","1","2","1","1","1","2","4908355.00"
"56","2","2","1","1","1","2","4721772.00"
"57","3","2","1","1","1","1","5045585.00"
"58","2","2","1","1","1","2","5501755.00"
"59","1","2","1","1","1","2","5541840.00"
"60","3","2","1","1","1","1","6303463.00"
"61","2","2","1","1","1","2","5604709.00"
"62","3","2","1","1","1","0","5765148.00"
"63","1","2","1","1","1","2","7697034.00"
"64","3","2","1","1","1","2","7737231.00"
"65","2","2","1","1","1","2","7781506.00"
"66","2","2","1","1","1","2","6511183.00"
"67","3","2","1","1","1","0","6963586.00"
"68","2","2","1","1","1","2","7301551.00"
"69","1","2","1","1","1","1","7341060.00"
"70","1","2","1","1","1","2","7421745.00"
"71","2","2","1","1","1","2","7461958.00"
"72","3","2","1","1","1","1","7874288.00"
"73","1","2","1","1","1","2","13532014.00"
"74","2","2","1","1","1","2","13572381.00"
"75","3","2","1","1","1","1","14075907.00"
"76","1","2","1","1","1","1","4431874.00"
"77","1","2","1","1","1","2","4444649.00"
"78","2","2","1","1","1","2","4484669.00"
"79","3","2","1","1","1","1","4528853.00"
"80","2","2","1","1","1","2","4603699.00"
"81","1","2","1","1","1","1","4643873.00"
"82","2","2","1","1","1","2","4053881.00"
"83","3","2","1","1","1","2","4753436.00"
"84","2","2","1","1","1","2","4213529.00"
"85","1","2","1","1","1","1","4253606.00"
"86","3","2","1","1","1","1","4655111.00"
"87","2","2","1","1","1","2","4351061.00"
"88","1","2","1","1","1","2","4573743.00"
"89","3","2","1","1","1","2","4673580.00"
"90","1","2","1","1","1","2","5145207.00"
"91","2","2","1","1","1","2","5185318.00"
"92","1","2","1","1","1","2","5951864.00"
"93","2","2","1","1","1","2","5991975.00"
"94","3","2","1","1","1","1","6970609.00"
"95","2","2","1","1","1","2","7103446.00"
"96","3","2","1","1","1","2","7143556.00"
"97","1","2","1","1","1","2","7187736.00"
"98","2","2","1","1","1","2","7031098.00"
"99","1","2","1","1","1","2","7492431.00"
"100","1","2","1","1","1","2","6791357.00"
"101","2","2","1","1","1","2","6831554.00"
"102","3","2","1","1","1","1","6903489.00"
"103","1","2","1","1","1","2","6900670.00"
"104","2","2","1","1","1","2","6940175.00"
"105","2","2","1","1","1","2","13652991.00"
"106","1","2","1","1","1","2","13743362.00"
"107","3","2","1","1","1","1","14092810.00"
"108","1","2","1","1","1","2","4523369.00"
"109","3","2","1","1","1","1","4837306.00"
"110","2","2","1","1","1","2","4511430.00"
"111","1","2","1","1","1","2","4550848.00"
"112","3","2","1","1","1","1","5171705.00"
"113","2","2","1","1","1","2","3983669.00"
"114","1","2","1","1","1","1","4298689.00"
"115","1","2","1","1","2","2","2973659.00"
"116","3","2","1","1","2","1","3202422.00"
"117","1","2","1","1","2","2","4213410.00"
"118","2","2","1","1","2","2","4253517.00"
"119","1","2","1","1","2","2","4242498.00"
"120","2","2","1","1","2","2","4282605.00"
"121","2","2","1","1","2","2","5263323.00"
"122","3","2","1","1","2","1","5384465.00"
"123","1","2","1","1","2","2","5463291.00"
"124","2","2","1","1","2","2","5587109.00"
"125","3","2","1","1","2","1","5627220.00"
"126","1","2","1","1","2","2","5685128.00"
"127","1","2","1","1","2","2","5064949.00"
"128","2","2","1","1","2","2","5105352.00"
"129","3","2","1","1","2","1","5386657.00"
"130","1","2","1","1","2","2","4543018.00"
"131","2","2","1","1","2","2","4582524.00"
"132","3","2","1","1","2","1","6218091.00"
"133","2","2","1","1","2","2","6258288.00"
"134","1","2","1","1","2","2","5082956.00"
"135","2","2","1","1","2","2","5122939.00"
"136","2","2","1","1","2","2","5545035.00"
"137","1","2","1","1","2","1","5584542.00"
"138","3","2","1","1","2","1","6001731.00"
"139","1","2","1","1","2","2","12312974.00"
"140","2","2","1","1","2","2","12353372.00"
"141","3","2","1","1","2","1","12443786.00"
"142","2","2","1","1","2","2","2003090.00"
"143","3","2","1","1","2","1","2043201.00"
"144","2","2","1","1","2","2","1582070.00"
"145","1","2","1","1","2","1","1724408.00"
"146","2","2","1","1","2","2","2183394.00"
"147","2","2","1","1","2","2","2883257.00"
"148","1","2","1","1","2","2","3195887.00"
"149","3","2","1","1","2","2","3316528.00"
"150","1","2","1","1","2","2","3003637.00"
"151","2","2","1","1","2","2","3043744.00"
"152","3","2","1","1","2","1","3233797.00"
"153","2","2","1","1","2","2","4180579.00"
"154","3","2","1","1","2","1","4303730.00"
"155","3","2","1","1","2","2","3292348.00"
"156","2","2","1","1","2","2","3335008.00"
"157","1","2","1","1","2","2","3376789.00"
"158","3","2","1","1","2","1","4432756.00"
"159","2","2","1","1","2","2","4472862.00"
"160","3","2","1","1","2","2","4212469.00"
"161","1","2","1","1","2","2","4343749.00"
"162","2","2","1","1","2","2","4681423.00"
"163","2","2","1","1","2","2","4353329.00"
"164","3","2","1","1","2","0","4396777.00"
"165","1","2","1","1","2","1","4437624.00"
"166","2","2","1","1","2","2","5453278.00"
"167","3","2","1","1","2","2","5894317.00"
"168","1","2","1","1","2","2","5713485.00"
"169","3","2","1","1","2","1","5842092.00"
"170","1","2","1","1","2","2","6080010.00"
"171","2","2","1","1","2","2","6193715.00"
"172","3","2","1","1","2","1","6302005.00"
"173","2","2","1","1","2","2","6693630.00"
"174","1","2","1","1","2","2","7253116.00"
"175","2","2","1","1","2","2","6356954.00"
"176","2","2","1","1","2","2","13156150.00"
"177","1","2","1","1","2","1","13196522.00"
"178","2","2","1","1","2","2","4193240.00"
"179","2","2","1","1","2","2","4110873.00"
"180","1","2","1","1","2","2","4526139.00"
"181","3","2","1","1","2","1","4566306.00"
"182","1","2","1","1","2","2","3012439.00"
"183","2","2","1","1","2","2","3052459.00"
"184","2","2","1","1","2","2","2903467.00"
"185","1","2","1","1","2","1","2945763.00"
"186","3","2","1","1","2","0","3382884.00"
"187","2","2","1","1","2","2","3723722.00"
"188","3","2","1","1","2","1","4044031.00"
"189","1","2","1","1","2","2","4083446.00"
"190","3","2","1","1","2","1","4752168.00"
"191","2","2","1","1","2","2","5342548.00"
"192","1","2","1","1","2","1","5382671.00"
"193","1","2","1","1","2","2","5593085.00"
"194","2","2","1","1","2","2","5691147.00"
"195","3","2","1","1","2","1","6013708.00"
"196","2","2","1","1","2","2","5713624.00"
"197","1","2","1","1","2","2","5753735.00"
"198","3","2","1","1","2","2","6075299.00"
"199","2","2","1","1","2","2","6113219.00"
"200","3","2","1","1","2","1","6767181.00"
"201","2","2","1","1","2","2","6573286.00"
"202","1","2","1","1","2","1","6613484.00"
"203","3","2","1","1","2","1","7113806.00"
"204","1","2","1","1","2","2","6704686.00"
"205","2","2","1","1","2","2","6744879.00"
"206","2","2","1","1","2","2","6843773.00"
"207","1","2","1","1","2","1","6883970.00"
"208","3","2","1","1","2","1","7384258.00"
"209","2","2","1","1","2","2","6975790.00"
"210","3","2","1","1","2","1","7424194.00"
"211","2","2","1","1","2","2","7115534.00"
"212","3","2","1","1","2","1","7543659.00"
"213","2","2","1","1","2","2","14543338.00"
"214","1","2","1","1","2","1","14583709.00"
"215","2","2","1","1","2","2","5323424.00"
"216","1","2","1","1","2","1","5363531.00"
"217","3","2","1","1","2","1","5455548.00"
"218","2","2","1","1","2","2","5503163.00"
"219","3","2","1","1","2","1","5863860.00"
"220","1","2","1","1","2","2","5953619.00"
"221","2","2","1","1","2","2","5993640.00"
"222","2","2","1","1","2","2","5194028.00"
"223","1","2","1","1","2","1","5233450.00"
"224","2","2","1","1","2","2","5233553.00"
"225","2","2","1","1","2","2","5360532.00"
"226","3","2","1","1","2","2","5783630.00"
"227","2","2","1","1","3","2","3970724.00"
"228","2","2","1","1","3","2","3423453.00"
"229","3","2","1","1","3","1","3636582.00"
"230","1","2","1","1","3","0","4753801.00"
"231","3","2","1","1","3","1","5250021.00"
"232","2","2","1","1","3","2","5290123.00"
"233","3","2","1","1","3","2","5090615.00"
"234","2","2","1","1","3","2","5130734.00"
"235","1","2","1","1","3","1","5174918.00"
"236","3","2","1","1","3","2","5651770.00"
"237","2","2","1","1","3","2","5692471.00"
"238","1","2","1","1","3","1","5879069.00"
"239","2","2","1","1","3","2","4854583.00"
"240","1","2","1","1","3","0","4894781.00"
"241","3","2","1","1","3","1","5323651.00"
"242","1","2","1","1","3","2","5844048.00"
"243","2","2","1","1","3","2","5884425.00"
"244","3","2","1","1","3","1","11443715.00"
"245","2","2","1","1","3","2","743679.00"
"246","1","2","1","1","3","2","1418006.00"
"247","2","2","1","1","3","2","1747602.00"
"248","2","2","1","1","3","2","924449.00"
"249","3","2","1","1","3","1","965212.00"
"250","1","2","1","1","3","1","1010091.00"
"251","1","2","1","1","3","2","1944841.00"
"252","2","2","1","1","3","2","1985815.00"
"253","3","2","1","1","3","1","2173752.00"
"254","1","2","1","1","3","2","2074366.00"
"255","2","2","1","1","3","2","2115431.00"
"256","3","2","1","1","3","1","2202945.00"
"257","1","2","1","1","3","2","2684589.00"
"258","2","2","1","1","3","2","2725651.00"
"259","3","2","1","1","3","1","3261439.00"
"260","2","2","1","1","3","2","3483366.00"
"261","3","2","1","1","3","1","3803804.00"
"262","2","2","1","1","3","2","3633422.00"
"263","3","2","1","1","3","1","3841458.00"
"264","1","2","1","1","3","1","3881830.00"
"265","2","2","1","1","3","2","4083249.00"
"266","1","2","1","1","3","2","4279926.00"
"267","3","2","1","1","3","2","4320298.00"
"268","3","2","1","1","3","1","4572414.00"
"269","1","2","1","1","3","1","4613562.00"
"270","1","2","1","1","3","2","5123532.00"
"271","3","2","1","1","3","1","5052050.00"
"272","2","2","1","1","3","2","6093017.00"
"273","1","2","1","1","3","2","6529655.00"
"274","2","2","1","1","3","2","5737389.00"
"275","3","2","1","1","3","0","5786149.00"
"276","1","2","1","1","3","1","5863388.00"
"277","1","2","1","1","3","2","12534766.00"
"278","2","2","1","1","3","2","12576088.00"
"279","3","2","1","1","3","1","12748062.00"
"280","1","2","1","1","3","2","2971788.00"
"281","2","2","1","1","3","2","3077635.00"
"282","2","2","1","1","3","2","2447125.00"
"283","3","2","1","1","3","2","3133556.00"
"284","1","2","1","1","3","2","3176995.00"
"285","2","2","1","1","3","2","2832191.00"
"286","1","2","1","1","3","2","3265060.00"
"287","3","2","1","1","3","0","3024868.00"
"288","1","2","1","1","3","1","3203655.00"
"289","2","2","1","1","3","2","3801689.00"
"290","2","2","1","1","3","2","3943265.00"
"291","1","2","1","1","3","1","3984330.00"
"292","3","2","1","1","3","1","4414184.00"
"293","2","2","1","1","3","2","4063557.00"
"294","1","2","1","1","3","2","4193629.00"
"295","3","2","1","1","3","2","4623645.00"
"296","2","2","1","1","3","2","4664017.00"
"297","2","2","1","1","3","2","4443564.00"
"298","3","2","1","1","3","1","4473283.00"
"299","2","2","1","1","3","2","4573786.00"
"300","2","2","1","1","3","2","5283494.00"
"301","3","2","1","1","3","0","5503837.00"
"302","1","2","1","1","3","1","5724681.00"
"303","1","2","1","1","3","2","5405037.00"
"304","2","2","1","1","3","2","5446181.00"
"305","3","2","1","1","3","2","6433285.00"
"306","2","2","1","1","3","2","6895220.00"
"307","1","2","1","1","3","2","7006282.00"
"308","2","2","1","1","3","2","6344635.00"
"309","3","2","1","1","3","1","6672373.00"
"310","1","2","1","1","3","2","7144949.00"
"311","2","2","1","1","3","2","7185529.00"
"312","3","2","1","1","3","1","7365165.00"
"313","2","2","1","1","3","2","13913657.00"
"314","3","2","1","1","3","1","14345532.00"
"315","1","2","1","1","3","1","4153335.00"
"316","3","2","1","1","3","1","4593758.00"
"317","1","2","1","1","3","2","4495754.00"
"318","2","2","1","1","3","2","4536728.00"
"319","3","2","1","1","3","1","4962499.00"
"320","2","2","1","1","3","2","4323531.00"
"321","3","2","1","1","3","0","4869620.00"
"322","1","2","1","1","3","1","4910691.00"
"323","2","2","1","1","3","2","4103343.00"
"324","3","2","1","1","3","1","4144404.00"
"325","1","2","1","1","3","2","4540701.00"
"326","2","2","1","1","3","2","4123303.00"
"327","1","2","1","1","3","2","4334022.00"
"328","3","2","1","1","3","2","4566139.00"
"329","2","2","1","1","3","2","4935321.00"
"330","3","2","1","1","3","1","4976386.00"
"331","3","2","1","1","3","2","5401857.00"
"332","2","2","1","1","3","2","5442249.00"
"333","1","2","1","1","3","1","5853325.00"
"334","1","2","1","1","3","2","6196552.00"
"335","2","2","1","1","3","2","6236929.00"
"336","3","2","1","1","3","1","6643638.00"
"337","2","2","1","1","3","2","6383327.00"
"338","3","2","1","1","3","0","6423703.00"
"339","1","2","1","1","3","1","6824034.00"
"340","2","2","1","1","4","2","3373440.00"
"341","3","2","1","1","4","2","3686277.00"
"342","1","2","1","1","4","1","4026539.00"
